PHOTOID, LATITUDE, LONGITUDE, DATETIME
36913765586, 62.131533, 25.668097, 2016:01:01 00:00:00
36913763746, 62.131619, 25.668288, 2016:01:01 00:00:00
36913762306, 62.131616, 25.668288, 2016:01:01 00:00:00
36913760536, 62.131602, 25.668302, 2016:01:01 00:00:00
36913758296, 62.131552, 25.668133, 2016:01:01 00:00:00
37102020035, 62.131527, 25.668005, 2016:01:01 00:00:00
36931599362, 62.131530, 25.668002, 2016:01:01 00:00:00
36960451461, 62.131527, 25.668008, 2016:01:01 00:00:00
36289113643, 62.131525, 25.668005, 2016:01:01 00:00:00
36289112643, 62.131530, 25.667997, 2016:01:01 00:00:00
36289111063, 62.131544, 25.667986, 2016:01:01 00:00:00
36266806584, 62.131544, 25.667986, 2016:01:01 00:00:00
36266805854, 62.131544, 25.668011, 2016:01:01 00:00:00
36266802994, 62.131536, 25.668002, 2016:01:01 00:00:00
36960438601, 62.131577, 25.667958, 2016:01:01 00:00:00
36960435061, 62.131575, 25.667961, 2016:01:01 00:00:00
36960433221, 62.131552, 25.668016, 2016:01:01 00:00:00
36960431011, 62.131561, 25.667958, 2016:01:01 00:00:00
36913738236, 62.131561, 25.667958, 2016:01:01 00:00:00
36705853710, 62.131561, 25.667961, 2016:01:01 00:00:00
36705849550, 62.131563, 25.667963, 2016:01:01 00:00:00
36705847250, 62.131563, 25.667963, 2016:01:01 00:00:00
36913733186, 62.131647, 25.668130, 2016:01:01 00:00:00
36913731166, 62.131644, 25.668155, 2016:01:01 00:00:00
36913728666, 62.131647, 25.668141, 2016:01:01 00:00:00
36705835990, 62.131658, 25.668158, 2016:01:01 00:00:00
36266773764, 62.131655, 25.668147, 2016:01:01 00:00:00
36289086623, 62.131677, 25.668225, 2016:01:01 00:00:00
36266768604, 62.131577, 25.667922, 2016:01:01 00:00:00
36266766714, 62.131555, 25.667966, 2016:01:01 00:00:00
36266764864, 62.131558, 25.667950, 2016:01:01 00:00:00
36266762874, 62.131777, 25.669341, 2016:01:01 00:00:00
37101986455, 62.131872, 25.669050, 2016:01:01 00:00:00
37101985145, 62.130902, 25.669025, 2016:01:01 00:00:00
36266756824, 62.130902, 25.669025, 2016:01:01 00:00:00
36705815730, 62.130902, 25.669025, 2016:01:01 00:00:00
36266753934, 62.130902, 25.669025, 2016:01:01 00:00:00
36705812170, 62.130902, 25.669025, 2016:01:01 00:00:00
36266749634, 62.130902, 25.669025, 2016:01:01 00:00:00
36267075814, 62.131780, 25.669447, 2016:01:01 00:00:00
36931832392, 62.131794, 25.669730, 2016:01:01 00:00:00
36267072804, 62.131697, 25.669555, 2016:01:01 00:00:00
36960734171, 62.131702, 25.670058, 2016:01:01 00:00:00
36960731781, 62.131663, 25.669597, 2016:01:01 00:00:00
36960730261, 62.130588, 25.668997, 2016:01:01 00:00:00
36706185410, 62.130611, 25.667886, 2016:01:01 00:00:00
36914005326, 62.130530, 25.668275, 2016:01:01 00:00:00
36960724751, 62.130513, 25.668455, 2016:01:01 00:00:00
36706174740, 62.130461, 25.668219, 2016:01:01 00:00:00
36706167100, 62.132436, 25.670013, 2016:01:01 00:00:00
36706163850, 62.131697, 25.669255, 2016:01:01 00:00:00
36267043304, 62.131697, 25.669255, 2016:01:01 00:00:00
36960707621, 62.099833, 25.772547, 2016:01:01 00:00:00
36931807442, 62.090780, 25.758580, 2016:01:01 00:00:00
36960704061, 62.090675, 25.758747, 2016:01:01 00:00:00
36913987666, 62.091030, 25.758463, 2016:01:01 00:00:00
36931799432, 62.131008, 25.668875, 2016:01:01 00:00:00
36913983266, 62.131008, 25.668875, 2016:01:01 00:00:00
36913981526, 62.131008, 25.668875, 2016:01:01 00:00:00
36289330103, 62.131008, 25.668875, 2016:01:01 00:00:00
36289328383, 62.131008, 25.668875, 2016:01:01 00:00:00
36913975856, 62.131897, 25.669250, 2016:01:01 00:00:00
36960689831, 62.131758, 25.669261, 2016:01:01 00:00:00
36913970586, 62.131758, 25.669261, 2016:01:01 00:00:00
36289320043, 62.131758, 25.669261, 2016:01:01 00:00:00
37102251015, 62.131758, 25.669261, 2016:01:01 00:00:00
36706117890, 62.108522, 25.688522, 2016:01:01 00:00:00
36706115310, 62.108350, 25.688691, 2016:01:01 00:00:00
36289313773, 62.108300, 25.688752, 2016:01:01 00:00:00
36913958536, 62.108305, 25.688536, 2016:01:01 00:00:00
36289308793, 62.108280, 25.688730, 2016:01:01 00:00:00
36289307313, 62.108352, 25.688633, 2016:01:01 00:00:00
36289305283, 62.108355, 25.688605, 2016:01:01 00:00:00
36289303383, 62.108391, 25.688586, 2016:01:01 00:00:00
37102231335, 62.108286, 25.688494, 2016:01:01 00:00:00
36266998264, 62.107577, 25.688719, 2016:01:01 00:00:00
36266996214, 62.107497, 25.688650, 2016:01:01 00:00:00
36913937426, 62.107536, 25.688688, 2016:01:01 00:00:00
36266988334, 62.112241, 25.666783, 2016:01:01 00:00:00
36266985294, 62.112241, 25.666783, 2016:01:01 00:00:00
36266982484, 62.112277, 25.667244, 2016:01:01 00:00:00
36706085220, 62.112136, 25.667669, 2016:01:01 00:00:00
36913929816, 62.112130, 25.667688, 2016:01:01 00:00:00
36706078070, 62.112086, 25.668144, 2016:01:01 00:00:00
37102210765, 62.131725, 25.668997, 2016:01:01 00:00:00
36706075580, 62.131725, 25.668997, 2016:01:01 00:00:00
36931742342, 62.131730, 25.669069, 2016:01:01 00:00:00
